ID RA Dec RAHost DecHost zHost NormSep TDR zSource zSN tpk e_tpk x1 e_x1 c e_c mB e_mB logM e_logM distcorr PIa_PSNID PIa_NN PIa_Fitprob PIa_Galsnid
psc110734 08:44:16.540 +45:20:39.14 08:44:16.500 +45:20:39.07 0.40188 0.889 10.44 MMT 0.4 55570.7 0.6 0.5171 0.5964 -0.055 0.0423 21.9647 0.0559 11.404 0.02 0.028 1.0 1.0 1.0 1.0
psc120044 09:55:10.067 +01:43:48.88 09:55:10.039 +01:43:48.61 -999 -999 -999 -999 0.48 55570.4 0.7 0.8018 0.6338 -0.1345 0.0441 22.6377 0.0539 -999.0 -999.0 0.05 1.0 1.0 1.0 1.0
psc120085 10:01:53.026 +02:02:33.52 10:01:53.009 +02:02:33.71 0.32179 1.132 4.38 AAT/AAOmega 0.32 55571.2 0.3 -2.2725 0.3245 0.0535 0.0419 21.8606 0.0494 10.9 0.182 0.015 1.0 1.0 1.0 1.0
psc120086 10:03:09.365 +02:08:36.18 10:03:09.725 +02:08:38.89 0.39213 5.859 11.63 MMT 0.4 55562.3 0.6 0.2893 0.4887 0.1206 0.0447 22.3738 0.052 11.029 0.188 0.027 1.0 1.0 1.0 1.0
psc120094 10:02:06.278 +02:05:16.05 10:02:06.271 +02:05:15.67 -999 -999 -999 -999 0.45 55570.8 0.5 1.0692 0.421 -0.1572 0.034 22.2369 0.0384 8.658 57.928 0.041 1.0 1.0 1.0 1.0
psc120143 10:54:43.785 +58:37:35.62 10:54:43.685 +58:37:36.91 -999 -999 -999 -999 0.174 55567.8 0.2 -0.2462 0.1265 -0.0661 0.0252 19.9703 0.0303 9.163 0.14 0.003 1.0 1.0 1.0 1.0
psc120336 09:56:19.762 +01:24:34.08 09:56:19.723 +01:24:33.20 -999 -999 -999 -999 0.16 55585.3 0.2 -0.2028 0.1626 0.0582 0.0276 20.3109 0.0349 9.757 0.378 0.002 1.0 1.0 1.0 1.0
psc120369 10:03:58.859 +02:15:44.70 10:03:58.914 +02:15:46.36 0.33019 3.000 10.45 MMT 0.329 55584.3 0.3 -0.1963 0.3215 -0.1128 0.0314 21.7043 0.0448 10.563 0.218 0.016 1.0 1.0 1.0 1.0
psc120400 09:58:30.825 +02:52:18.40 09:58:30.987 +02:52:15.68 -999 -999 -999 -999 0.35 55580.6 0.3 0.1847 0.4092 -0.1085 0.0406 21.7691 0.0589 10.665 0.07 0.02 1.0 1.0 1.0 1.0
psc120444 03:26:43.681 -27:56:10.44 03:26:43.622 -27:56:10.10 -999 -999 -999 -999 0.3 55576.6 0.6 0.2738 0.9368 -0.1735 0.1386 21.3119 0.2122 8.927 0.398 0.013 1.0 1.0 1.0 1.0
psc120585 02:23:05.633 -03:36:37.25 02:23:05.258 -03:36:39.09 -999 -999 -999 -999 0.25 55583.6 0.4 0.2148 0.2878 -0.1424 0.0269 20.6749 0.0372 9.621 0.764 0.01 1.0 1.0 1.0 1.0
psc120586 03:28:35.271 -27:20:27.48 03:28:35.227 -27:20:28.02 -999 -999 -999 -999 0.23 55590.4 0.7 -0.362 0.7838 -0.0506 0.0438 20.878 0.0653 9.546 0.409 0.009 1.0 1.0 1.0 1.0
psc130308 14:12:57.069 +52:44:37.18 14:12:56.908 +52:44:37.11 0.08224 0.622 10.72 MMT 0.082 55595.5 0.4 -1.0217 0.1724 0.0949 0.0299 18.9628 0.0385 10.424 0.27 -0.015 1.0 1.0 1.0 1.0
